 0 21 95 82 56 41  6 25 10  4 63  6 44 40 75 79  0 89 35  9
 21  0  1 85 84 12  0 26 91 11 35 82 26 69 56 86 45 91 59 18
 95  1  0 76 39 18 57 36 61 36 21 71 11 29 82 82  6 71  8 77
 82 85 76  0 74 30 89 76 76 40 93 56  1 50  4 36 27 85  2  1
 56 84 39 74  0 15 11 35 11 20 21 61 80 58 21 76 72 44 85 94
 41 12 18 30 15  0 90 51  3 48 29 90 66 41 15 83 96 74 45 65
  6  0 57 89 11 90  0 40 54 83 14 71 77 36 53 37 26 87 76 91
 25 26 36 76 35 51 40  0 13 29 11 77 32 87 67 94 79  2 10 99
 10 91 61 76 11  3 54 13  0 56 70 99 60  4 56  2 60 72 74 46
  4 11 36 40 20 48 83 29 56  0 13 20 86  4 77 15 89 48 14 89
 63 35 21 93 21 29 14 11 70 13  0 44 59 22 57 63  6  0 62 41
  6 82 71 56 61 90 71 77 99 20 44  0 62 46 25 75 76 40 66 58
 44 26 11  1 80 66 77 32 60 86 59 62  0 30 68 78 91 13 59 49
 40 69 29 50 58 41 36 87  4  4 22 46 30  0 85 84  8 38 41 56
 75 56 82  4 21 15 53 67 56 77 57 25 68 85  0 39 53 77 50 30
 79 86 82 36 76 83 37 94  2 15 63 75 78 84 39  0 58 55 19 85
  0 45  6 27 72 96 26 79 60 89  6 76 91  8 53 58  0 52 34 53
 89 91 71 85 44 74 87  2 72 48  0 40 13 38 77 55 52  0 40 69
 35 59  8  2 85 45 76 10 74 14 62 66 59 41 50 19 34 40  0 12
  9 18 77  1 94 65 91 99 46 89 41 58 49 56 30 85 53 69 12  0
