0 78 22 43 86  8 99  5 32 89 19 69 33 89 46
78  0  2 81 24 83 92 36 31 73 96  5 57  2 39
22  2  0 38 50 32 66 73  6  8 68 16 21  1 70
43 81 38  0 53 75 40  8 63 30 30 10 47 36 34
86 24 50 53  0 41 29 68 52 83 51 52 57 75 10
 8 83 32 75 41  0 68 44  0 56 82 23 84 90  8
99 92 66 40 29 68  0 46 64 79  4 64 85 99 29
 5 36 73  8 68 44 46  0 74 19 56 34 11 54 52
32 31  6 63 52  0 64 74  0  2 14 95 81 98 15
89 73  8 30 83 56 79 19  2  0 43 49 80 71 35
19 96 68 30 51 82  4 56 14 43  0  8 74 53 61
69  5 16 10 52 23 64 34 95 49  8  0 19 21 10
33 57 21 47 57 84 85 11 81 80 74 19  0  6 65
89  2  1 36 75 90 99 54 98 71 53 21  6  0 61
46 39 70 34 10  8 29 52 15 35 61 10 65 61  0
