0 36 53 37 26 87 76 91 13 29 11 77 32 87 67
 36  0 94 79  2 10 99 56 70 99 60  4 56  2 60
 53 94  0 72 74 46 13 20 86  4 77 15 89 48 14
 37 79 72  0 89 44 59 22 57 63  6  0 62 41 62
 26  2 74 89  0 46 25 75 76 40 66 58 30 68 78
 87 10 46 44 46  0 91 13 59 49 85 84  8 38 41
 76 99 13 59 25 91  0 56 39 53 77 50 30 58 55
 91 56 20 22 75 13 56  0 19 85 52 34 53 40 69
 13 70 86 57 76 59 39 19  0 12 85 72  7 49 46
 29 99  4 63 40 49 53 85 12  0 87 58 17 68 27
 11 60 77  6 66 85 77 52 85 87  0 21  6 67 26
 77  4 15  0 58 84 50 34 72 58 21  0 82 44 35
 32 56 89 62 30  8 30 53  7 17  6 82  0  3 62
 87  2 48 41 68 38 58 40 49 68 67 44  3  0  8
 67 60 14 62 78 41 55 69 46 27 26 35 62  8  0
