0 21 95 82 56 41  6 25 10  4 63  6 44 40 75 79  0 89 35  9  1 85 84 12  0 26 91 11 35 82
 21  0 26 69 56 86 45 91 59 18 76 39 18 57 36 61 36 21 71 11 29 82 82  6 71  8 77 74 30 89
 95 26  0 76 76 40 93 56  1 50  4 36 27 85  2  1 15 11 35 11 20 21 61 80 58 21 76 72 44 85
 82 69 76  0 94 90 51  3 48 29 90 66 41 15 83 96 74 45 65 40 54 83 14 71 77 36 53 37 26 87
 56 56 76 94  0 76 91 13 29 11 77 32 87 67 94 79  2 10 99 56 70 99 60  4 56  2 60 72 74 46
 41 86 40 90 76  0 13 20 86  4 77 15 89 48 14 89 44 59 22 57 63  6  0 62 41 62 46 25 75 76
  6 45 93 51 91 13  0 40 66 58 30 68 78 91 13 59 49 85 84  8 38 41 56 39 53 77 50 30 58 55
 25 91 56  3 13 20 40  0 19 85 52 34 53 40 69 12 85 72  7 49 46 87 58 17 68 27 21  6 67 26
 10 59  1 48 29 86 66 19  0 82 44 35  3 62  8 51  1 91 39 87 72 45 96  7 87 68 33  3 21 90
  4 18 50 29 11  4 58 85 82  0 45 47 25 30 43 97 33 35 61 42 36 43  7 84  6  0  0 48 62 59
 63 76  4 90 77 77 30 52 44 45  0 29 94 82 29  3  3 51 67 39 15 66 42 23 62 62 28 76 66 82
  6 39 36 66 32 15 68 34 35 47 29  0 98 35 15 17 77 44 26 76 86 60 62 62 83 91 57 62 36  2
 44 18 27 41 87 89 78 53  3 25 94 98  0  2 43 65 37 49 61  5 34 53 96 82 48 28 31 75  1 95
 40 57 85 15 67 48 91 40 62 30 82 35  2  0  7 92 69 62 32 97  5 39 50 82 93 71 35 14 20 74
 75 36  2 83 94 14 13 69  8 43 29 15 43  7  0 49 50 37 79 19 51 70 42 26 79 98 60 35  9 96
 79 61  1 96 79 89 59 12 51 97  3 17 65 92 49  0 70 21 37 37 67 93 93 39  2 52 26 90 26  1
  0 36 15 74  2 44 49 85  1 33  3 77 37 69 50 70  0 68 93  7 94 19 54 37  0 20 12 11 66 84
 89 21 11 45 10 59 85 72 91 35 51 44 49 62 37 21 68  0 80  1 55  9 21 12 65  7 17 51 84 87
 35 71 35 65 99 22 84  7 39 61 67 26 61 32 79 37 93 80  0  2 27 82 71 71 40 93 27 93 92 34
  9 11 11 40 56 57  8 49 87 42 39 76  5 97 19 37  7  1  2  0 39 31 26  1 87 72 59 97 46 62
  1 29 20 54 70 63 38 46 72 36 15 86 34  5 51 67 94 55 27 39  0 12 91 63 70  1 22 49 24 58
 85 82 21 83 99  6 41 87 45 43 66 60 53 39 70 93 19  9 82 31 12  0 62 49 94 92 63 13 45 22
 84 82 61 14 60  0 56 58 96  7 42 62 96 50 42 93 54 21 71 26 91 62  0 69 70 18  1 44 32  3
 12  6 80 71  4 62 39 17  7 84 23 62 82 82 26 39 37 12 71  1 63 49 69  0 72 99 34 45 18 96
  0 71 58 77 56 41 53 68 87  6 62 83 48 93 79  2  0 65 40 87 70 94 70 72  0 82 79 75 83 43
 26  8 21 36  2 62 77 27 68  0 62 91 28 71 98 52 20  7 93 72  1 92 18 99 82  0 26 81 39 66
 91 77 76 53 60 46 50 21 33  0 28 57 31 35 60 26 12 17 27 59 22 63  1 34 79 26  0 22 71 58
 11 74 72 37 72 25 30  6  3 48 76 62 75 14 35 90 11 51 93 97 49 13 44 45 75 81 22  0 42 91
 35 30 44 26 74 75 58 67 21 62 66 36  1 20  9 26 66 84 92 46 24 45 32 18 83 39 71 42  0 56
 82 89 85 87 46 76 55 26 90 59 82  2 95 74 96  1 84 87 34 62 58 22  3 96 43 66 58 91 56  0
