0 21 95 82 56 41  6 25 10  4 63  6 44 40 75
 21  0 79  0 89 35  9  1 85 84 12  0 26 91 11
 95 79  0 35 82 26 69 56 86 45 91 59 18 76 39
 82  0 35  0 18 57 36 61 36 21 71 11 29 82 82
 56 89 82 18  0  6 71  8 77 74 30 89 76 76 40
 41 35 26 57  6  0 93 56  1 50  4 36 27 85  2
  6  9 69 36 71 93  0  1 15 11 35 11 20 21 61
 25  1 56 61  8 56  1  0 80 58 21 76 72 44 85
 10 85 86 36 77  1 15 80  0 94 90 51  3 48 29
  4 84 45 21 74 50 11 58 94  0 90 66 41 15 83
 63 12 91 71 30  4 35 21 90 90  0 96 74 45 65
  6  0 59 11 89 36 11 76 51 66 96  0 40 54 83
 44 26 18 29 76 27 20 72  3 41 74 40  0 14 71
 40 91 76 82 76 85 21 44 48 15 45 54 14  0 77
 75 11 39 82 40  2 61 85 29 83 65 83 71 77  0
