0 21 95 82 56 41  6 25 10  4 63  6 44 40 75 79  0
 21  0 89 35  9  1 85 84 12  0 26 91 11 35 82 26 69
 95 89  0 56 86 45 91 59 18 76 39 18 57 36 61 36 21
 82 35 56  0 71 11 29 82 82  6 71  8 77 74 30 89 76
 56  9 86 71  0 76 40 93 56  1 50  4 36 27 85  2  1
 41  1 45 11 76  0 15 11 35 11 20 21 61 80 58 21 76
  6 85 91 29 40 15  0 72 44 85 94 90 51  3 48 29 90
 25 84 59 82 93 11 72  0 66 41 15 83 96 74 45 65 40
 10 12 18 82 56 35 44 66  0 54 83 14 71 77 36 53 37
  4  0 76  6  1 11 85 41 54  0 26 87 76 91 13 29 11
 63 26 39 71 50 20 94 15 83 26  0 77 32 87 67 94 79
  6 91 18  8  4 21 90 83 14 87 77  0  2 10 99 56 70
 44 11 57 77 36 61 51 96 71 76 32  2  0 99 60  4 56
 40 35 36 74 27 80  3 74 77 91 87 10 99  0  2 60 72
 75 82 61 30 85 58 48 45 36 13 67 99 60  2  0 74 46
 79 26 36 89  2 21 29 65 53 29 94 56  4 60 74  0 13
  0 69 21 76  1 76 90 40 37 11 79 70 56 72 46 13  0
