0 27 56 28 64 98 69 69 93 35 41 67 12 33  1 71 72 26 86 67 67 24 10 46 56 56 69 53 48 74
 27  0 43 94 29 64 97 38 12 99 51 87 76 71 47 47  9 71 20 81 99 45 56 15 99 64 57 84 83 61
 56 43  0 25 41  8 46 52 22 33 68 52 28 75 99  6 85 65 47 90 24 79 70 28 19 87 80  4 21 34
 28 94 25  0 12 20 67 24 94 10 64 52 92 49 68 65 66 28 81 17 58 99 90 70 17 57 37  2 37  3
 64 29 41 12  0 43 20 68 35 60 23 48 40 10 42 83 82 27 49 15 34 50 42 26 33 23 16 69 97 13
 98 64  8 20 43  0 35 80 40 55 30 22 76 55 56 91 74 82 96  2 13  4  4 35 48 29 42 56  3 30
 69 97 46 67 20 35  0 60 81 37 42  3 17 25 37 26 88 95 55 53 62 22 44 86 43 43 40 36 53 34
 69 38 52 24 68 80 60  0 59 43 50 58 62 43  9 22 64 46 68 53  8 30 30 92  6 13 95 76 81 91
 93 12 22 94 35 40 81 59  0 37 78 90 64 49 46 19 60 93 35 47 69 54 87 12 39 33 54 12 10  4
 35 99 33 10 60 55 37 43 37  0 88 54 46 82 84  8 29 10 92 62 62 74 48 22 85 23  3 30 12 98
 41 51 68 64 23 30 42 50 78 88  0 69 29 61 34 53 98 94 33 77 31 54 71 78  8 78 50 76 56 80
 67 87 52 52 48 22  3 58 90 54 69  0 72 26 20 57 39 68 55 71 19 32 87 41 94 21 21 20 61 13
 12 76 28 92 40 76 17 62 64 46 29 72  0  5 46 97 61  8 92 33 73  0 16 73 74 44 55 96 67 94
 33 71 75 49 10 55 25 43 49 82 61 26  5  0 83 28 22 78 55 89 11 99 84 56 30 90 87 80 20 66
  1 47 99 68 42 56 37  9 46 84 34 20 46 83  0 59 93 79 80 28 68 99 54 69 99  1 49 63 23 33
 71 47  6 65 83 91 26 22 19  8 53 57 97 28 59  0 99 40 29 60 95 28 44 30 88 66  9 41  3  4
 72  9 85 66 82 74 88 64 60 29 98 39 61 22 93 99  0 63 61 87 34 28 55 63 10 78 17 90  0 66
 26 71 65 28 27 82 95 46 93 10 94 68  8 78 79 40 63  0 62 30 76  0 91 62 73 38 49 85 86 88
 86 20 47 81 49 96 55 68 35 92 33 55 92 55 80 29 61 62  0 13 71 46 75 98 53 52 10 84 70 44
 67 81 90 17 15  2 53 53 47 62 77 71 33 89 28 60 87 30 13  0  8 52 59 48 85 29 94 79  4 85
 67 99 24 58 34 13 62  8 69 62 31 19 73 11 68 95 34 76 71  8  0 31 54 95 75 81 11 56 38 95
 24 45 79 99 50  4 22 30 54 74 54 32  0 99 99 28 28  0 46 52 31  0 37 67 54 88 93 53 44 68
 10 56 70 90 42  4 44 30 87 48 71 87 16 84 54 44 55 91 75 59 54 37  0 58 98 55 84 76 19 46
 46 15 28 70 26 35 86 92 12 22 78 41 73 56 69 30 63 62 98 48 95 67 58  0 89 89  5 23 63 19
 56 99 19 17 33 48 43  6 39 85  8 94 74 30 99 88 10 73 53 85 75 54 98 89  0 53 20 47 17 66
 56 64 87 57 23 29 43 13 33 23 78 21 44 90  1 66 78 38 52 29 81 88 55 89 53  0 60 86 14 52
 69 57 80 37 16 42 40 95 54  3 50 21 55 87 49  9 17 49 10 94 11 93 84  5 20 60  0 27 77  5
 53 84  4  2 69 56 36 76 12 30 76 20 96 80 63 41 90 85 84 79 56 53 76 23 47 86 27  0 37 27
 48 83 21 37 97  3 53 81 10 12 56 61 67 20 23  3  0 86 70  4 38 44 19 63 17 14 77 37  0 53
 74 61 34  3 13 30 34 91  4 98 80 13 94 66 33  4 66 88 44 85 95 68 46 19 66 52  5 27 53  0
