lambda	f0	f1	fla
0.0	398972.9707116181	2.4377979571440592e6	398972.9707116181
0.02048	405721.8643125058	2.436493833967734e6	447312.07425104483
0.04096	414751.0925516849	2.434544014601536e6	497481.8106388468
0.06144000000000001	440642.12556070974	2.4338690790031096e6	563105.9895802108
0.08192	466116.6719654518	2.4279817451231824e6	626832.6587585331
0.1024	474720.3317795998	2.424877760048381e6	674416.452434323
0.12288	479080.0846680157	2.4225401224972233e6	717892.4541164688
0.14336000000000002	482630.7915054316	2.4204128825905332e6	760431.2320833917
0.16384	487004.5690294653	2.418097169057925e6	803394.7806181283
0.18432	493449.5282640575	2.415737242715234e6	847765.5997916984
0.2048	504265.99761365465	2.4139808886030726e6	895375.6072882875
0.24576	530543.2595579183	2.410978356013464e6	992678.9888628332
0.26624000000000003	539394.442143814	2.4046939893656364e6	1.0360117935961521e6
0.28672000000000003	546377.6361281988	2.398271342478861e6	1.0773525996130607e6
0.30720000000000003	551494.0295163862	2.393945192502114e6	1.1174950267856019e6
0.32768	554051.4964331636	2.3914103534176545e6	1.1561172466898416e6
0.34816	556307.2084841834	2.3887130902595622e6	1.1942776402830994e6
0.34817000000000004	565961.6401206639	2.3927072074227296e6	1.2019796442882242e6
0.38913000000000003	571489.45462067	2.3870265787466075e6	1.277969415731796e6
0.43009000000000003	575021.3649658071	2.3803031304406924e6	1.3514549994789006e6
0.45057	576882.3212307827	2.376343222516885e6	1.387665419523262e6
0.47105	579300.0895326613	2.370952294583693e6	1.4232578607219497e6
0.49153	583099.7488594115	2.3626118751376215e6	1.45778334428894e6
0.5120100000000001	587134.7520736302	2.3525749524889365e6	1.4910577890882713e6
0.5324900000000001	591808.5058648223	2.3396134931834945e6	1.5224971835621423e6
0.5529700000000002	595800.8151644636	2.3267556711218385e6	1.5529669218632134e6
0.5734500000000002	600705.7596261723	2.311178005721758e6	1.5815760691496865e6
0.5939300000000003	606982.3274945057	2.2904262901138337e6	1.6068302002130034e6
0.6348900000000003	616662.8196946029	2.2527889319748394e6	1.6554229271202027e6
0.6758500000000003	619541.8515369191	2.23763073203619e6	1.713127221422352e6
0.7168100000000003	622365.5825992436	2.227943221821077e6	1.7732596901698466e6
0.7577700000000003	624198.3036436533	2.218498199258644e6	1.8323109355438254e6
0.7987300000000003	628566.2280481503	2.1861426947897263e6	1.8726492793286499e6
0.8396900000000003	632371.3261299835	2.141962864296889e6	1.8999602448133528e6
0.8601700000000003	634810.8235849205	2.1112680986064104e6	1.904815077840156e6
0.8704100000000004	636334.84515659	2.090777015722786e6	1.9022958548391133e6
0.8755300000000004	637376.6570985131	2.0759629472059766e6	1.896902111676301e6
0.8780900000000004	639078.3802008386	2.0513943268269384e6	1.8792188897737511e6
0.8793700000000003	644207.7282898194	1.97677655309676e6	1.8160287757602993e6
0.8896100000000003	656038.2276340644	1.79787945722898e6	1.6718316038939978e6
0.8947300000000004	664030.5609354557	1.6626560462537333e6	1.5575307414142785e6
0.8998500000000004	674816.0547751199	1.470666025296242e6	1.390961650748552e6
0.9049700000000004	685847.0076966828	1.2652578509608312e6	1.2101964385254392e6
0.9100900000000004	692112.0328516139	1.136549951935131e6	1.0965905386303323e6
0.9510500000000004	692112.0328516139	1.136549951935131e6	1.114794715795993e6
0.9612900000000004	692112.0328516139	1.136549951935131e6	1.1193457600874084e6
0.9625700000000004	692112.0328516139	1.136549951935131e6	1.1199146406238351e6
0.9626500000000003	692112.0328516139	1.136549951935131e6	1.1199501956573618e6
0.9626600000000003	692112.0328516139	1.136549951935131e6	1.119954640036553e6
0.9626700000000002	708706.0	708706.0	708706.0
